Rank,State,Index
5,Alabama ,88.8
48,Alaska ,123.4
42,Arizona ,112.8
7,Arkansas ,89
50,California ,144.7
36,Colorado ,102.7
40,Connecticut ,111.7
31,Delaware ,100.2
34,Florida ,102.4
11,Georgia ,91.5
52,Hawaii ,184.6
33,Idaho ,102
26,Illinois ,95.5
10,Indiana ,91.3
9,Iowa ,90.4
2,Kansas ,86.7
17,Kentucky ,92.9
19,Louisiana ,93.5
43,Maine ,113.5
28,Maryland ,98.9
51,Massachusetts ,146.9
13,Michigan ,92.3
24,Minnesota ,95.3
3,Mississippi ,87.5
6,Missouri ,89
20,Montana ,94
16,Nebraska ,92.8
30,Nevada ,100.1
39,New Hampshire ,111.5
46,New Jersey ,114.8
18,New Mexico ,92.9
47,New York ,123.4
27,North Carolina ,97.6
12,North Dakota ,92.1
21,Ohio ,94.9
4,Oklahoma ,87.9
38,Oregon ,110
22,Pennsylvania ,94.9
41,Rhode Island ,112.4
23,South Carolina ,95.2
14,South Dakota ,92.3
8,Tennessee ,90
15,Texas ,92.6
37,Utah ,109.5
45,Vermont ,114.1
32,Virginia ,100.5
44,Washington ,113.6
1,West Virginia ,84.8
29,Wisconsin ,99.3
25,Wyoming ,95.4