No,state,2018,2019,2020,2021,2022
1,Alabama,523.1,504.7,453.6,348.3,409.1
2,Alaska,891.7,865,837.8,759.1,758.9
3,Arizona,475.7,447.1,484.8,425.6,431.5
4,Arkansas,561.6,580.8,671.9,702.4,645.3
5,California,447.5,442.1,442,481.2,499.5
6,Colorado,401.5,384.6,423.1,480.4,492.5
7,Connecti­cut,209.6,184.6,181.6,168.6,150
8,Delaware,422.5,422.7,431.9,419.2,383.5
9,Florida,385.9,378.2,383.6,337.3,258.9
10,Georgia,338.9,326.2,400.1,349.8,367
11,Hawaii,255,264.5,254.2,274,259.6
12,Idaho,239.7,232.6,242.6,240.8,241.4
13,Illinois,411.4,415.3,425.9,344.8,287.3
14,Indiana,373.5,371.5,357.7,332.6,306.2
15,Iowa,263.7,287.6,303.5,295,286.5
16,Kansas,441.8,405.5,425,444.9,414.6
17,Kentucky,217.9,220.7,259.1,269,214.1
18,Louisiana,543.3,559.7,639.4,662.7,628.6
19,Maine,112,116.1,108.6,112.9,103.3
20,Maryland,469.4,454.4,399.9,435.1,398.5
21,Massa­chusetts,340.3,328.7,308.8,301.1,322
22,Michigan,452.5,438.6,478,491.1,461
23,Minnesota,221.2,237.5,277.5,308.9,280.6
24,Mississippi,266,261.2,291.2,255.4,245
25,Missouri,501.4,499.6,542.7,524.3,488
26,Montana,380.9,417.9,469.8,469.8,417.9
27,Nebraska,289.9,304.6,334.1,297,282.8
28,Nevada,552.1,496.1,460.3,432,454
29,New Hampshire,177.6,158.1,146.4,129.7,125.6
30,New Jersey,208.6,206.7,195.4,183.5,202.9
31,New Mexico,842.8,824,778.3,820.8,780.5
32,New York,350.8,361,363.8,308.3,429.3
33,North Carolina,356.2,378.7,419.3,419.5,405.1
34,North Dakota,284.1,301.4,329,276.4,279.6
35,Ohio,294.8,296,308.8,317.4,293.6
36,Okla­homa,474.6,436.3,458.6,438,419.7
37,Oregon,290.4,293.7,291.9,341.3,342.4
38,Pennsyl­vania,305.4,306,389.5,281.8,279.9
39,Rhode Island,219.8,222.7,230.8,200.5,172.3
40,South Carolina,500.8,510.1,530.7,513.8,491.3
41,South Dakota,396.4,397.1,501.4,391.8,377.4
42,Tenne­ssee,630.4,598.9,672.7,671.8,621.6
43,Texas,412.9,421.8,446.5,453,431.9
44,Utah,239.4,236.9,260.7,259.1,241.8
45,Vermont,185,207.2,173.4,194,221.9
46,Virginia,204.2,209.4,208.7,225.5,234
47,Washing­ton,315.3,303.3,293.7,335.7,375.6
48,West Virginia,299.9,318.9,355.9,291.5,277.9
49,Wisconsin,299,297.1,323.4,325.4,297
50,Wyoming,213.8,215,234.2,223.8,201.9