national_rank,state,employment_rate,
46, Alabama,55.5,
16, Alaska,61.6,
30, Arizona,59.3,
45, Arkansas,55.6,
30, California,59.3,
5, Colorado,66.3,
14, Connecticut,62.8,
39, Delaware,57.7,
41, Florida,57.6,
29, Georgia,59.6,
36, Hawaii,58.1,
21, Idaho,61.4,
18, Illinois,61.5,
16, Indiana,61.6,
5, Iowa,66.3,
8, Kansas,64.6,
44, Kentucky,55.6,
43, Louisiana,56.5,
42, Maine,56.8,
14, Maryland,62.8,
13, Massachusetts,62.7,
10, Michigan,63.1,
5, Minnesota,66.3,
49, Mississippi,52.7,
27, Missouri,61.1,
21, Montana,61.4,
1, Nebraska,68.1,
37, Nevada,57.9,
9, New Hampshire,64.5,
18, New Jersey,61.5,
48, New Mexico,54.2,
39, New York,57.7,
35, North Carolina,58.7,
2, North Dakota,67.8,
34, Ohio,59,
32, Oklahoma,59.1,
28, Oregon,60.2,
32, Pennsylvania,59.1,
26, Rhode Island,61.3,
47, South Carolina,54.7,
4, South Dakota,66.8,
37, Tennessee,57.9,
21, Texas,61.4,
3, Utah,67.1,
18, Vermont,61.5,
12, Virginia,63,
21, Washington,61.4,
50, West Virginia,52.5,
10, Wisconsin,63.1,
21, Wyoming,61.4,