No,State,p20,p40,p50,p60,p80,
1,Alabama,24744,49146,62212,78412,123395,
2,Alaska,38204,70365,88121,106200,166034,
3,Arizona,33356,61345,77315,95772,150019,
4,Arkansas,24357,46449,58700,73396,116085,
5,California,37852,74982,95521,119542,194477,
6,Colorado,41002,74457,92911,114447,178394,
7,Connecticut,36158,71846,91665,114395,185072,
8,Delaware,36524,65012,82174,100552,155421,
9,Florida,31559,58563,73311,91114,144290,
10,Georgia,30697,58792,74632,93247,148068,
11,Hawaii,40078,76375,95322,118376,183132,
12,Idaho,35115,61014,74942,92127,139748,
13,Illinois,32498,62716,80306,100587,158265,
14,Indiana,30501,55451,69477,84702,132018,
15,Iowa,31956,56845,71433,87553,134085,
16,Kansas,31352,55660,70333,86669,134863,
17,Kentucky,24138,47445,61118,76432,121641,
18,Louisiana,21834,44502,58229,74636,122581,
19,Maine,32025,58429,73733,91132,136483,
20,Maryland,40901,77522,98678,121503,192595,
21,Massachusetts,36620,76709,99858,125116,204728,
22,Michigan,29594,54981,69183,85519,135855,
23,Minnesota,37850,68223,85086,103805,160398,
24,Mississippi,21071,42400,54203,69475,111926,
25,Missouri,30420,54772,68545,85158,132469,
26,Montana,30491,56177,70804,86029,132885,
27,Nebraska,33620,60298,74590,91593,139738,
28,Nevada,33167,61240,76364,93574,145825,
29,New Hampshire,41591,77681,96838,116559,178673,
30,New Jersey,40109,78129,99781,124034,202071,
31,New Mexico,24403,49093,62268,77521,125783,
32,New York,30308,62380,82095,104135,175120,
33,North Carolina,30827,55724,70804,87653,140304,
34,North Dakota,32157,59560,76525,92629,143107,
35,Ohio,29479,53598,67769,84874,134463,
36,Okla­homa,25982,49673,62138,78405,121993,
37,Oregon,33136,63526,80160,99090,154420,
38,Pennsylvania,30676,58601,73824,92477,146763,
39,Rhode Island,33689,66687,84972,104297,163680,
40,South Carolina,28538,53580,67804,83916,131886,
41,South Dakota,31580,57073,71810,89119,132593,
42,Tenne­ssee,28679,53494,67631,84566,133687,
43,Texas,32173,60419,75780,94919,151411,
44,Utah,43949,76728,93421,112302,165245,
45,Vermont,34143,62330,81211,100389,151571,
46,Virginia,36799,70863,89931,111185,179813,
47,Washington,40100,75355,94605,115889,184724,
48,West Virginia,23095,44050,55948,70189,112522,
49,Wisconsin,33182,59924,74631,91756,139442,
50,Wyoming,31121,56842,72415,88136,132246,